0.8444 0.7580 0.7130 0.5745 0.6400 0.4548 -0.2178 0.4316 0.8553 0.4208 0.8859 0.4100 0.1519 0.8930 0.7262 0.4108 0.7228 0.1838 0.4405 0.9694 0.8634 0.1635 0.6144 0.4503 0.0230 0.8737 0.0252 0.0000
0.4206 0.2589 0.1769 0.0670 0.1089 -0.2211 0.8773 0.6183 0.2237 0.4458 0.9429 0.8415 0.1790 0.4371 0.2237 0.5297 0.1913 0.7867 0.0289 0.7935 0.8490 0.3218 0.6032 0.9892 0.8396 0.4701 0.9228 1.0000
0.5113 0.4049 0.2614 0.1640 0.2070 -0.8126 -0.0977 0.9532 0.5614 0.7376 0.4368 0.6649 0.5991 0.0294 0.6488 0.4183 0.3959 0.6258 0.7060 0.0240 0.8079 0.0249 0.5175 0.7387 0.3253 0.4105 0.8386 1.0000
0.7838 0.3033 0.6143 0.0920 0.2377 -0.0128 0.6557 0.8262 0.7006 0.0764 0.9939 0.8313 0.7929 0.5681 0.6002 0.2529 0.5981 0.2322 0.9773 0.5948 0.7019 0.7189 0.7621 0.1460 0.9582 0.8644 0.2289 0.0000
0.4766 0.5834 0.2271 0.3403 0.2780 -0.6219 -0.9990 0.0048 0.0480 0.9325 0.9894 0.0853 0.8751 0.0138 0.0457 0.8364 0.8219 0.0944 0.7683 0.9465 0.2093 0.7922 0.4616 0.5739 0.7301 0.2683 0.1614 1.0000
0.9081 0.5047 0.8247 0.2547 0.4583 0.8315 -0.7808 0.4530 0.2448 0.4680 0.7600 0.1156 0.2394 0.2376 0.6382 0.8140 0.6750 0.4333 0.0267 0.9182 0.7255 0.8465 0.0101 0.6289 0.7122 0.9177 0.4010 0.0000
0.2818 0.7558 0.0794 0.5712 0.2130 0.7751 -0.2345 0.2496 0.9334 0.9435 0.9510 0.3883 0.7893 0.8373 0.0252 0.6661 0.4786 0.5564 0.2131 0.1068 0.4153 0.3174 0.2255 0.8092 0.9375 0.9738 0.5932 1.0000
0.6184 0.2505 0.3824 0.0628 0.1549 -0.9726 0.9076 0.2522 0.2998 0.9684 0.8925 0.3352 0.1517 0.7473 0.4556 0.1042 0.9064 0.2711 0.6661 0.5667 0.7796 0.3614 0.5743 0.5078 0.0005 0.9430 0.0290 0.0000
0.9097 0.9828 0.8276 0.9659 0.8941 0.8386 1.0000 0.6440 0.3305 0.6757 0.8365 0.7231 0.9325 0.5989 0.6417 0.1311 0.3911 0.3337 0.1715 0.0948 0.5227 0.5360 0.9053 0.1758 0.1430 0.9770 0.6725 1.0000
0.8102 0.9022 0.6565 0.8139 0.7310 0.1973 0.8041 0.9246 0.2034 0.0903 0.7191 0.7189 0.8640 0.7684 0.3109 0.5533 0.2189 0.1507 0.6392 0.1138 0.5196 0.2122 0.2398 0.3636 0.7274 0.8671 0.8548 1.0000
0.3101 0.7298 0.0962 0.5327 0.2264 0.6134 -0.4300 0.2261 0.0194 0.2544 0.6092 0.7526 0.0122 0.5459 0.9626 0.9906 0.7277 0.2674 0.8291 0.6837 0.0658 0.5834 0.6808 0.0471 0.0422 0.0962 0.4998 1.0000
0.8988 0.6840 0.8079 0.4678 0.6148 0.7880 -0.7252 0.4361 0.7778 0.7649 0.1817 0.7119 0.1635 0.3626 0.8813 0.5529 0.1848 0.2856 0.5691 0.9800 0.3140 0.6556 0.9338 0.7176 0.6773 0.7210 0.0477 0.0000
0.4721 0.1007 0.2229 0.0101 0.0475 -0.5936 0.7213 0.7006 0.8830 0.4219 0.8230 0.8336 0.2906 0.5481 0.3803 0.3524 0.8656 0.8942 0.1427 0.1798 0.0767 0.8266 0.6068 0.8165 0.2985 0.4410 0.8667 0.0000
0.4342 0.6109 0.1885 0.3732 0.2652 -0.3257 -0.9848 0.6930 0.2366 0.5758 0.6540 0.2281 0.9588 0.6118 0.8148 0.6682 0.8490 0.1429 0.1641 0.7494 0.8258 0.5298 0.4801 0.0110 0.4174 0.4367 0.1779 1.0000
0.9130 0.9666 0.8336 0.9343 0.8825 0.8526 0.9927 0.9330 0.2857 0.7018 0.4705 0.8837 0.6146 0.0417 0.7505 0.2216 0.1338 0.9475 0.8378 0.9210 0.1951 0.0035 0.3546 0.6564 0.4856 0.1211 0.9849 1.0000
0.4770 0.8653 0.2275 0.7488 0.4128 -0.6245 0.5966 0.7419 0.0870 0.4041 0.8814 0.9363 0.3527 0.5474 0.5890 0.3203 0.6481 0.1662 0.4172 0.9251 0.7231 0.2204 0.9417 0.7421 0.7860 0.3880 0.9691 1.0000
0.2605 0.8050 0.0679 0.6481 0.2097 0.8712 0.1564 0.5189 0.9047 0.7242 0.8255 0.5122 0.0315 0.8674 0.5357 0.7219 0.5270 0.6474 0.0021 0.6734 0.4885 0.8462 0.3560 0.7380 0.9973 0.8594 0.6977 1.0000
0.5487 0.0140 0.3011 0.0002 0.0077 -0.9484 0.1121 0.6995 0.5045 0.4350 0.1590 0.3433 0.6029 0.1574 0.5919 0.2439 0.3548 0.5044 0.2871 0.5537 0.6039 0.0359 0.2854 0.2504 0.6931 0.6769 0.7172 0.0000
0.7197 0.3988 0.5180 0.1591 0.2870 -0.5017 -0.0490 0.2284 0.8337 0.4348 0.2151 0.0547 0.1267 0.6359 0.5961 0.8523 0.8157 0.1925 0.2879 0.6463 0.7521 0.8928 0.5073 0.7218 0.3213 0.2075 0.4360 0.0000
0.8248 0.6682 0.6804 0.4464 0.5511 0.3104 -0.8064 0.4640 0.1312 0.8648 0.0074 0.8398 0.3614 0.9118 0.6725 0.0269 0.5387 0.2120 0.3934 0.0436 0.7688 0.0590 0.7211 0.1527 0.1173 0.0422 0.8255 0.0000
0.0011 0.4936 0.0000 0.2436 0.0006 0.0091 -0.7222 0.5887 0.3875 0.9338 0.8125 0.3641 0.8845 0.9682 0.3574 0.2009 0.1356 0.9276 0.8795 0.1346 0.5278 0.1016 0.3207 0.4986 0.8844 0.9549 0.5068 0.0000
